Project,Day,Month,Year,Headline,URL,Source,Country,Language,Format,Format2,IsBroken
PLP,25,2,2014,"The Daily Planet, Episode 25",http://www.discovery.ca/episodeList.aspx?sid=13287,Discovery Channel,International,English,Video/TV,,Broken
OSS,5,2,2019,The first dexterous and sentient hand prosthesis has been successfully implanted.,https://www.sciencedaily.com/releases/2019/02/190205185204.htm,Science Daily,International,English,Online,,
OSS,9,10,2014,The First Implanted Mind-Controlled Prosthetic Arm Has Restored a Patient's Sense of Touch,https://www.sciencealert.com/news/20140910-26308.html,Science Alert,International,English,Online,Video/TV,
OSS,9,10,2014,The groundbreaking mind-controlled BIONIC ARM that plugs into the body and has given wearers back their sense of touch,http://www.dailymail.co.uk/sciencetech/article-2785769/The-mind-controlled-prosthetic-limb-given-wearer-sense-touch.html,Mail Online,UK,English,Online,Video/TV,
OSS,1,12,2013,The most popular lectures,,Nippon Video/TV Network,Japan,Japanese,Video/TV,,
OSS,8,7,2015,The secret life of materials: Bionic Limbs,https://www.youtube.com/watch?v=Q7V5HRNcFkM&list=PLmQdDYjAqXUk5jp7_xLYLFfIeH53Gl-bg&index=5,The Secret Life of Materials,International,English,Video/TV,,
OSS,,,2012,The world's first mind-controlled implantable robotic arm,http://www.goteborgbio.se/nyhetsarkiv/nyhetsarkiv2012/theworldsfirstmindcontrolledimplantableroboticarm.5.249e750913abda23d1c275c.html,GöteborgBio,Sweden,Swedish,Online,,Broken
OSS,9,10,2014,This mind-controlled robotic arm can easily crack an egg using bone communication,https://memeburn.com/gearburn/2014/10/this-mind-controlled-robotic-arm-can-easily-crack-an-egg-using-bone-communication/,Gearburn,International,English,Online,Video/TV,
OSS,,,2014,Thought controlled prothesis,http://www.mdtmag.com/news/2014/10/thought-controlled-prosthesis,Med Device Online,International,English,Online,,Broken
OSS,8,10,2014,Thought-controlled arm prosthesis changed Magnus's life,https://sverigesRadio/Podcasts.se/sida/artikel.aspx?programid=104&artikel=5985860,Radio Sweden,Sweden,English,Radio/Podcasts,,Broken
OSS,17,12,2012,Thought-Controlled Prosthesis Moves With the Mind,https://www.techbriefs.com/component/content/article/tb/stories/news/15430,Tech Briefts,USA,English,Online,,
OSS,20,12,2014,Thought-controlled prosthetics,http://www.scienceupdate.com/2012/12/arm/,Science Update,International,English,Radio/Podcasts,Online,
OSS,14,2,2013,"Tingvall, T., ""Fingertoppskänsla på export""",,Life Science Sweden,Sweden,Swedish,Print,,
OSS,19,12,2012,Top 10 health innovations of the week,https://www.psfk.com/2012/12/psfk-picks-top-10-health-innovations-of-the-week-27.html,PSFK,International,English,Online,,
PLP,12,12,2016,Training mit virtuellem Arm stoppt Phantomschmerz,https://www.aerztezeitung.de/medizin/krankheiten/schmerz/article/925781/virtuelle-realitaet-training-virtuellem-arm-stoppt-phantomschmerz.html,Ärzte Zeitung,Germany,German,Online,Video/TV,
PLP,6,9,2018,Träna bort fantomsmärtorna med AI-algoritmer,https://www.forskning.se/2018/09/06/trana-bort-fantomsmartorna-med-ai-algoritmer/,Forskning,Sweden,Swedish,Online,Video/TV,
OSS,28,10,2016,Träning för latmaskar – finns det?,https://sverigesRadio/Podcasts.se/sida/avsnitt/797123?programid=415,Radio Sweden,Sweden,Swedish,Radio/Podcasts,,Broken
OSS,5,2,2019,"Transradial implant provides dexterity, touch to prosthesis",https://opedge.com/Articles/ViewArticle/2019-02-05/first-dexterous-hand-prosthesis-implanted,The O & P Edge,International,English,Online,,
PLP,1,6,2014,"Tsakiridou, E. ""Phanthomschmerzen lassen sich wegtrainieren""",,VDI nachrichten,Germany,German,Print,,
OSS,13,2,2015,"Tsakiridou, E., ""Prothese wird von Nerven und Muskeln gesteuert""",,VDI nachrichten,Germany,German,Print,,
PLP,27,2,2014,"TT, ""Ny metod mot fantomsmärtor""",,Metro,Sweden,Swedish,Print,,
PLP,26,4,2014,Ture har fått en ny arm i datorn,http://t.sr.se/1lShzve,Kossornas Planet,Sweden,Swedish,Radio/Podcasts,,
PLP,26,2,2014,Un alivio después de 48 años con dolor en un miembro fantasma,https://www.elmundo.es/salud/2014/02/26/530cf236ca4741a3088b459c.html,El Mundo,Spain,Spanish,Online,Video/TV,
PLP,27,2,2014,Un bras virtuel reduit les douleurs fantomes apres une amputation ,http://www.pourquoidocteur.fr/Un-bras-virtuel-reduit-les-douleurs-fantomes-apres-une-amputation-5580.html,Pour Quoi Docteur,France,French,Online,,
OSS,10,10,2014,Un brazo biónico permite a un amputado volver a su vida normal,http://www.abc.es/salud/noticias/20141009/abci-mano-bionica-tecnologia-201410081242.html,ABC Salud,Mexico,Spanish,Online,Video/TV,
OSS,8,10,2014,Un brazo biónico permite hacer vida normal a un amputado,http://elpais.com/elpais/2014/10/08/ciencia/1412784659_199144.html,El País,Mexico,Spanish,Online,Video/TV,
PLP,26,2,2014,Un brazo virtual consigue eliminar el dolor del  miembro fantasma al simular su movimiento,http://www.sevillaindependiente.com/__n2809262__Un_brazo_virtual_consigue_eliminar_el_dolor_del_2623393Bmiembro_fantasma2623393B_al_simular_su_movimiento.html,Sevilla Independiente,,Spanish,Online,,Broken
PLP,26,2,2014,Un brazo virtual consigue eliminar el dolor del  miembro fantasma al simular su movimiento,http://www.elsemanaldigital.com/un-brazo-virtual-consigue-eliminar-el-dolor-del-miembro-fantasma-al-simular-su-movimiento-207369_noticia.htm,El Semanal Digital,Spain,Spanish,Online,,Broken
PLP,26,2,2014,Un brazo virtual consigue eliminar el dolor del 'miembro fantasma' al simular su movimiento,https://www.medicinatv.com/profesional/reportajes/un-brazo-virtual-consigue-eliminar-el-dolor-del-miembro-fantasma-al-simular-su-movimiento-5342/,Medicina TV,Spain,Spanish,Online,,
PLP,26,2,2014,un brazo virtual consigue eliminar el dolor del miembro fantasma,,Republica,Spain,Spanish,Online,,
PLP,26,2,2014,un brazo virtual consigue eliminar el dolor del miembro fantasma al simular su movimiento,http://noticias.es.msn.com/ultima-hora/un-brazo-virtual-consigue-eliminar-el-dolor-del-miembro-fantasma-al-simular-su-movimiento,Noticias,Spain,Spanish,Online,,Broken
PLP,26,2,2014,Un brazo virtual consigue eliminar el dolor del 'miembro fantasma' al simular su movimiento.,https://ecodiario.eleconomista.es/salud/noticias/5573537/02/14/Un-brazo-virtual-consigue-eliminar-el-dolor-del-miembro-fantasma-al-simular-su-movimiento.html,EcoDiario,Spain,Spanish,Online,,
PLP,26,2,2014,Un brazo virtual consigue eliminar el dolor del 'miembro fantasma' al simular su movimiento.,https://www.que.es/ciudades/201402260924-brazo-virtual-consigue-eliminar-dolor.html,Que,Spain,Spanish,Online,,
PLP,2,10,2014,"Un brazo virtual logra eliminar el dolor del ""miembro fantasma"" tras la amputación",https://www.cronicamadrid.com/noticia/1255723/SALUD/Un-brazo-virtual-logra-eliminar-el-dolor-del-miembro-fantasma-tras-la-amputacion.html,Madrid Cronica,Spain,Spanish,Online,,
PLP,26,2,2014,Un sistema de realidad virtual hace desaparecer el síndrome del miembro fantasma,https://www.libertaddigital.com/ciencia-tecnologia/salud/2014-02-26/un-sistema-de-realidad-virtual-hace-desaparecer-el-sindrome-del-miembro-fantasma-1276511752/,Libertad Digital SA,Spain,Spanish,Online,,
PLP,26,2,2014,"Un sistema de realidad virtual promete curar el síndrome del ""miembro fantasma""",https://publimetro.pe/actualidad/sistema-realidad-virtual-promete-curar-sindrome-miembro-fantasma-20809-noticia/,PubliMetro,Peru,Spanish,Online,Video/TV,
PLP,26,2,2014,Una terapia acaba con el 'dolor fantasma' en amputados,https://www.abc.es/salud/noticias/20140226/abci-fantasma-dolor-201402251940.html,ABC Salud,Spain,Spanish,Online,,
PLP,1,3,2018,UNB is taking part in a study trying to treat the phenomenon of pain in limbs after amputation,https://www.cbc.ca/news/canada/new-brunswick/unb-phantom-pain-1.4557651,CBC,International,English,Online,Video/TV,
PLP,8,2,2013,Une avancée pour les amputés. Un bras artificiel guidé par la pensée,http://magazine.com.lb/index.php/fr/component/k2/item/2561-une-avanc%C3%A9e-pour-les-amput%C3%A9s-un-bras-artificiel-guid%C3%A9-par-la-pens%C3%A9e?issue_id=62,Magazine Le Mensuel,France,French,Online,,
PLP,12,9,2018,Une étude pourrait expliquer l'origine de la douleur du membre fantôme,https://www.msn.com/fr-fr/actualite/sciences/une-%C3%A9tude-pourrait-expliquer-lorigine-de-la-douleur-du-membre-fant%C3%B4me/ar-BBNam7c?li=BBoJIji,MSN,France,French,Online,,Broken
OSS,8,10,2014,Upgraded Prosthetics Behave More Like Natural Limbs,https://www.aaas.org/news/upgraded-prosthetics-behave-more-natural-limbs,AAAS,International,English,Online,Video/TV,
OSS,9,6,2013,"Veniou, I., ""Χέρια σαν αληθινά!""",,BHMA Science,Greece,Greek,Print,,
OSS,10,10,2014,Verso l'integrazione totale delle neuroprotesi,http://www.lescienze.it/news/2014/10/10/news/protesi_braccio_mano_sentita_come_propria-2325638/,Le Scienze,Italy,Italian,Online,,
OSS,13,10,2014,Video: Swede fitted with first mind-controlled prosthetic arm,http://www.digitaljournal.com/technology/video-swede-fitted-with-first-mind-controlled-prosthetic-arm/article/408173,Digital Journal,International,English,Online,Video/TV,
PLP,5,3,2014,Vild teknologi fjerner fantomsmerter med virtuelle kropsdele,https://videnskab.dk/teknologi/vild-teknologi-fjerner-fantomsmerter-med-virtuelle-kropsdele,Videnskap dk,Denmark,Danish,Online,Video/TV,
PLP,12,3,2014,Virtual Arm Eases Amputee's Phantom Limb Pain,https://singularityhub.com/2014/03/12/virtual-arm-eases-amputees-phantom-limb-pain/,SingularityHub,International,English,Online,,
PLP,26,2,2014,Virtual arm eases phantom limb pain,http://www.bbc.co.uk/news/health-26327457,BBC,International,English,Online,Video/TV,
PLP,26,2,2014,Virtual Arm Found Effective in Managing Phantom Limb Pain (VIDEO),https://www.ibtimes.co.in/virtual-arm-found-effective-in-managing-phantom-limb-pain-video-540727,IBT India Edition,India,English,Online,,
PLP,26,2,2014,Virtual Reality Gives Amputee Real-Life Relief,http://abcnews.go.com/blogs/health/2014/02/26/virtual-reality-gives-amputee-real-life-relief/,ABC,International,English,Online,,
PLP,26,2,2014,Virtual Reality Gives Amputee Real-Life Relief,http://abcnewsRadio/Podcastsonline.com/health-news/virtual-reality-gives-amputee-real-life-relief.html,ABC News Radio,International,English,Radio/Podcasts,,Broken
PLP,26,2,2014,Virtual Reality Gives Amputee Real-Life Relief,http://www.kmbz.com/Virtual-Reality-Gives-Amputee-Real-Life-Relief/18473868,"BMBZ, Kansas",USA,English,Online,,
PLP,9,9,2018,Virtual reality om fantoompijn te bestrijden: 'Eigenlijk fop je hiermee het brein',https://www.gemistvoornmt.nl/aflevering/1295093-rtl-nieuws-fop-je-hiermee-het-brein,RTL Nieuws,Netherlands,Dutch,Video/TV,,Broken
PLP,26,2,2014,Virtual Reality Treatment Relieves Amputee's Phantom Pain,http://www.foxnews.com/health/2014/02/26/virtual-reality-treatment-relieves-amputee-phantom-pain/,Fox News,International,English,Online,,
PLP,26,2,2014,Virtual Reality Treatment Relieves Amputee's Phantom Pain,https://newatlas.com/augmented-reality-phantom-limb-pain/30990/,New Atlas,International,English,Online,Video/TV,
PLP,26,2,2014,Virtual Reality Treatment Relieves Amputee's Phantom Pain,https://www.scientificamerican.com/article/virtual-reality-treatment-relieves-amputees-phantom-pain/,Scientific American,USA,English,Online,,
PLP,25,2,2014,Virtual Reality Treatment Relieves Amputee's Phantom Pain,Yahoonews.yahoo.com/virtual-reality-treatment-relieves-amputee-39-phantom-pain-210118819.html,Yahoo News,International,English,Online,,Broken
PLP,25,2,2014,Virtual Reality Treatment Relieves Amputee's Phantom Pain,https://www.livescience.com/43665-virtual-reality-treatment-for-phantom-limb-pain.html,Live Science,International,English,Online,,
PLP,26,2,2014,Virtuell arm kan hjälpa mot fantomsmärtor,http://sverigesRadio/Podcasts.se/sida/artikel.aspx?programid=406&artikel=5794295,Vetenskap & Miljö,Sweden,Swedish,Radio/Podcasts,,Broken
PLP,20,3,2014,"Virtuelle Schmerzen, Virtueller Rollantausch",http://dRadio/Podcastswissen.de/beitrag/gender-the-machine-to-be-another-wie-sich-frau-und-mann-im-k%C3%B6rper-des-anderen-hineinf%C3%BChlen,DRadio/Podcasts Wissen,Germany,German,Radio/Podcasts,,Broken
PLP,26,2,2014,Virtueller Arm lindert Phantomschmerzen,https://www.aerzteblatt.de/nachrichten/57754/Virtueller-Arm-lindert-Phantomschmerzen,Aerzteblatt,Germany,German,Online,,
OSS,30,11,2012,Vještačke ruke koje se pokreću mislima za amputirce,http://www.klix.ba/scitech/tehnologija/vjestacke-ruke-koje-se-pokrecu-mislima-za-amputirce/121130015,Klix,Bosnia,Bosnian,Online,,
OSS,14,10,2014,Voici la première prothèse de bras contrôlée par l'esprit,http://www.europe1.fr/high-tech/voici-la-premiere-prothese-de-bras-controlee-par-l-esprit-2259741,Europe1,France,French,Online,Video/TV,
OSS,6,6,2019,Wat is fantoompijn?,https://www.facebook.com/dekennisvannu/videos/592352011173817/,De Kennis van nu,Netherlands,Dutch,Video/TV,,
OSS,8,10,2014,We Are Getting Close to a Robot Hand That Grips—and Feels,https://www.popularmechanics.com/science/health/a12441/we-are-getting-close-to-a-robot-hand-that-grips-and-feels-17291914/,Popular Mechanics,International,English,Online,Video/TV,
PLP,24,4,2015,Weekend,http://www.marketplace.org/shows/marketplace-weekend/marketplace-weekend-friday-april-24-2015,Marketplace,USA,English,Radio/Podcasts,,
PLP,5,3,2014,Why Amputees Get Virtual Reality Limbs,https://www.youtube.com/watch?v=tRmYNwWRR78,D-News,International,English,Video/TV,,
PLP,27,2,2014,Wirtualna kończyna łagodzi bóle fantomowe,"https://nauka.money.pl/artykul/wirtualna-konczyna-lagodzi-bole-fantomowe,65,0,1485633.html",Money,Poland,Polish,Online,,
PLP,27,2,2014,Wirtualna kończyna łagodzi bóle fantomowe.,http://www.roik.pl/wirtualna-konczyna-lagodzi-bole-fantomowe/,Roik,Poland,Polish,Online,,
PLP,26,2,2014,"Wissen aktuell,  computerspiel gegen den Phantomschmerz",http://oe1.orf.at/programm/364732,OE1 Austria,Austria,German,Radio/Podcasts,,
OSS,10,10,2014,World Update,,BBC World Service Radio,International,English,Radio/Podcasts,,
OSS,5,2,2019,World's most advanced robotic hand gives amputees far more sensation and control,https://www.thesun.co.uk/tech/8361878/worlds-most-advanced-robotic-hand/,The Sun,UK,English,Online,Video/TV,
OSS,5,2,2019,World's most advanced bionic hand with sense of touch developed with UK experts,https://www.dailymail.co.uk/wires/pa/article-6669675/World-s-advanced-bionic-hand-touch-developed-UK-experts.html,Mail Online,UK,English,Online,,
OSS,5,2,2019,World's most advanced bionic hand with sense of touch developed with UK experts. , http://transition.meltwater.com/redirect?url=http%3A%2F%2Fhome.bt.com%2Fnews%2Fuk-news%2Fworlds-most-advanced-bionic-hand-with-touch-developed-with-uk-experts-11364334366610&transitionToken=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJob3N0bmFtZSI6ImhvbWUuYnQuY29tIn0.ZEPhe4EDEnmEXwOHeHykyjKuZ1ygSwgaVsw5F8N1r3gGQ1mE7T2uigK055VMHT1AcXVe2suSaVqDAVjapyNRWQ,BT News,UK,English,Online,,Broken
PLP,11,9,2018,"Yapay Zeka, Hayalet Uzuv Sendromu İçin Tedavi Olarak Kullanılacak",http://www.gazeteyeniyuzyil.com/teknoloji/yapay-zeka-hayalet-uzuv-sendromu-icin-tedavi-olarak-kullanilacak-h93583.html,Gazet Yeniyüzyil,Turkey,Turkish,Online,,
OSS,29,11,2012,Zweden gaan robothand met gedachten besturen,http://www.bits-chips.nl/nieuws/bekijk/artikel/zweden-gaan-robothand-met-gedachten-besturen.html,Bits & Chips,Denmark,Danish,Online,,
OSS,10,10,2014,"В Швеции протестировали осязаемый протез руки, контролируемый мозгом",http://paralel-media.com.ua/p66756.html,Paralel Media,Ukraine,Russian,Online,Video/TV,
PLP,27,2,2014,Виртуальная конечность поможет облегчить фантомные боли,http://newsland.com/user/4297809659/content/virtualnaia-konechnost-pomozhet-oblegchit-fantomnye-boli/4576928,Newsland,Russia,Russian,Online,,
OSS,11,10,2014,Механическую руку научили чувствовать,http://www.nkj.ru/news/25032/,NKJ,Russia,Russian,Online,,
PLP,11,9,2018,Объяснен феномен «призрачных» рук,https://lenta.ru/news/2018/09/11/hand/,Lenta,Russia,Russian,Online,,
OSS,9,10,2014,Протезы рук приблизились к реальным конечностям сразу по двум параметрам,http://www.vesti.ru/doc.html?id=2032676&cid=2161,Vesti,Russia,Russian,Online,Video/TV,
OSS,10,2,2019,Ученые впервые подключили протез руки напрямую к нервам человека (3 фото + 1 видео),https://m.fishki.net/2871288-uchenye-vpervye-podkljuchili-protez-ruki-naprjamuju-k-nervam-cheloveka.html?amp=1,Fishki Net,International,Russian,Online,Video/TV,
OSS,23,2,2013,Учёные совершили невероятный прорыв в протезировании,http://newsland.com/news/detail/id/1130940/,Newsland,Russia,Russian,Online,,
PLP,7,9,2018,"幻肢痛的新疗法来了！最新理论表明这可能是因为神经元太""闲""了",http://mini.eastday.com/a/180907174556179.html,Mini Eastday,China,Chinese,Online,,
PLP,7,9,2018,"幻肢痛的新疗法来了！最新理论表明这可能是因为神经元太""闲""了",https://www.toutiao.com/i6598415684873486852/,Toutiao,China,Chinese,Online,,
PLP,7,9,2018,"幻肢痛的新疗法来了！最新理论表明这可能是因为神经元太""闲""了",http://www.sohu.com/a/252523133_114835,Sohu,China,Chinese,Online,,
PLP,7,9,2018,"幻肢痛的新疗法来了！最新理论表明这可能是因为神经元太""闲""了",http://www.tzgcjie.com/shangye/chanjing/26734.html,Tzgcjie,China,Chinese,Online,,
OSS,11,10,2014,最新研发的仿生手臂可帮助截肢人群恢复触觉功能, http://news.china.com.cn/world/2014-10/11/content_33732124.htm,News China,China,Chinese,Online,,
OSS,6,2,2019,科学家发明出世界上最先进的假肢,https://tech.sina.com.cn/roll/2019-02-07/doc-ihrfqzka3966187.shtml,Sina,China,Chinese,Online,,
OSS,1,12,2012,自分の思ったとおりに失われた腕を動かせる世界初の埋め込み型義手のロボットハンドが開発される!!,http://commonpost.info/?p=55461,Common Post,Japan,Japanese,Online,,Broken
PLP,14,8,2019,Virtual reality experiences can help ease severe pain, https://www.dailymail.co.uk/wires/reuters/article-7357429/Virtual-reality-experiences-help-ease-severe-pain.html, DailyMail, International, English,Online,,
PLP,14,8,2019,Virtual reality experiences can help ease severe pain, https://www.reuters.com/article/us-health-pain-virtual-reality/virtual-reality-experiences-can-help-ease-severe-pain-idUSKCN1V41YQ, Reuters, International, English,Online,,
OSS,19,11,2019,World Unique Prosthesis Research - Feels like a real body part,https://www.youtube.com/watch?v=S06EmBb4Ahc,Malou Efter 10 (TV4),Sweden,English,Video/TV,,
OSS,20,12,2021,TEST,TEST,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
